ArtistID,Name
584,Desprez Jr.
585,Antoine Bonnefoy
586,Emile Dupont-Zipcy
587,Gilbert Stuart
588,John Trumbull
589,Edward Savage
590,Charles Willson Peale
591,Robert Ball Hughes
592,Victor David Brenner
593,Jean Ossaye Mombur
594,Miyagawa Kozan
595,William F. Shaw
596,William Trost Richards
597,Stiegel's Manheim Factory
598,Stiegel's Elizabeth Furnace
599,Anthony Rasch
600,Frederick Clarke Withers
601,Francis Hopkinson Smith
602,Hiram Powers
603,Kimbel and Cabus
604,Mary Dering
605,Elizabeth Dering
606,Garret Schanck
607,Van Voorhis & Schanck
608,Gaius Fenn
609,Jason Fenn
610,Augustin Dupré
611,John Christian Rauschner
612,Damián Hernández
613,Enrique Luis Ventosa
614,Thomas Commeraw
615,David Morgan
616,Horace Goodwin
617,Mack C. Webster
618,Philip Kline
619,Christian Klinker
620,Newcomb Pottery
621,Mary W. Summey Smith
622,F. Altoviti
623,Charles Wingender and Brother
624,Frederick Hurten Rhead
625,Rhead Pottery
626,John A. Bolen
627,Anthony Paquet
628,Rambert Dumarest
629,Robert Lovett
630,John Lewis Miles Pottery
631,Peleg Armstrong and Erastus Wentworth
632,John Bell Pottery
633,George Benton and Levi Stewart
634,John Crolius
635,Jonathan Fenton
636,Newell Harding
637,T. Johnson
638,C. A. Lawrence
639,Beverly Pottery
640,Ralph Stevenson
641,Enos Wilder
642,M. W. and Company
643,B.(?) A.
644,S. A.
645,Samuel Kirk
646,Daniel Fueter Jr.
647,Lewis Fueter
648,Reading Artistic Glass Works
649,Joseph Cox
650,Standish Barry
651,John Burger
652,William Cleveland
653,Samuel Post
654,James Gaskins
655,William Hollingshead
656,James Howell
657,Richard Humphreys
658,Richard Lee Jr.
659,Richard Lee
660,Saunders Pitman
661,Nathaniel Richardson
662,Roe and Stollenwerck
663,James D. Stout
664,Samuel Tingley
665,I. M.
666,James Weekes
667,S. Yates
668,Handel Company
669,Allen Porter
670,Dirk Van Erp (1862–1933)
671,Quezal Art Glass and Decorating Company
672,H. Van Buren Magonigle
673,Samuel Yellin
674,Jacob Gerritse Lansing
675,Daniel Crommelin Verplanck
676,John Elliott Sr.
677,Isaac Platt
678,Cartier
679,"Charles-Gabriel Sauvage, called Lemire pere"
680,Bauscher Brothers Porcelain Factory
681,L. T. Lloyde
682,Dorothea Warren O'Hara
683,Olga St. John
684,Rosenthal
685,John Sawin
686,George W. Dyer
687,John T. Curran
688,H. Smith
689,Terryville Manufacturing Company
690,Robert Wellford
691,Peter Eby
692,Johannes Hoeffer
693,William Faden the Younger
694,Clark Jones
695,François Augustin Caunois
696,Pierre Simon Benj. Duvivier
697,Jacques Édouard Gatteaux
698,Pierre Antoine Montagny
699,Joseph Arnold Pingret
700,Pierre Jean David d'Angers
701,Clark Mills
702,H. & P.
703,Phoenix Furniture Company
704,David Wolcott Kendall
705,Boardman and Hart
706,Bertrand Andrieu
707,Raymond Gayrard
708,John Bacon the Elder
709,Jean-Jacques Barre
710,Armand-Auguste Caqué
711,Seth Eastman
712,Salathiel Ellis
713,Joseph Willson
714,Moritz Fürst
715,Nicolas Marie Gatteaux
716,Godel & Co. Fine Art
717,Jean Hardy
718,William H. Key
719,William Kneass
720,George Hampden Lovett
721,James Manley
722,S. Brooks
723,F. N. Mitchell
724,Franklin Peale
725,Johann Christian Reich
726,Emile Rogat
727,Valentin Maurice Borrel
728,B. L. Vett
729,F. Vivier
730,Webb
731,Charles Cushing Wright
732,Joseph S. and Alfred Wyon
733,William Spohn Baker
734,William Hackwood
735,Wedgwood and Bentley
736,Aug. L. Belle
737,Thomas Claggett
738,Caleb Leach
739,"Joseph Addison, Esq."
740,J. Robertson
741,Charles Caryl Coleman
742,George T. Morgan
743,Fred Dikeman
744,Fred and Nancy Lee Dikeman
745,John Cluett Jr.
746,Mrs. Edgar Sittig
747,Elmkin Hitchcock
748,L. A.
749,George Baker
750,"Francis Bassett, I"
751,"Francis Bassett, II"
752,Parks Boyd
753,Daniel Boyer
754,"Bryce, Walker and Company"
755,John Coverly
756,Daniel Dupuy
757,Richard Van Dyck
758,Stephen Emery
759,Jacob Ten Eyck
760,Koenraet Ten Eyck
761,Abraham Fellows
762,George Fielding
763,Thomas Gilpin
764,George Hanners Jr.
765,M.H.
766,"Jones, Low and Ball"
767,King Glass Company
768,Jeffrey Lang
769,S. Mars
770,J. & G. Meakin
771,Edmond Milne
772,Leona Nicholson
773,Otto Parisien
774,Thomas Skinner
775,William Swan
776,H. B.
777,M. N.
778,V. B.
779,Alfred Welles
780,George Welles
781,Joseph Shoemaker
782,D. F.
783,I. K.
784,J. R.
785,Marcus Tullius Cicero
786,T. Davies
787,Thomas Cains
788,Phoenix Glass Works
789,Carl Knoll
790,Kristian Schneider
791,Otto Heinigke
792,Joel Sayre
793,John Sayre
794,Ralph Barber
795,William Leighton Sr.
796,Lebbeus Dod
797,"McKim, Mead and White"
798,John Windover
799,Gibson & Davis
800,John Geib Jr.
801,John Geib and Son
802,Joseph McCully
803,Joseph B. Barry and Son
804,Holmes and Haines
805,R. B.
806,William Haverstick
807,William Haverstick Jr.
808,Philip Christian & Company
809,American Porcelain Manufacturing Company
810,Thomas Hewes Hinckley
811,Kenneth P. Beattie
812,Belloni and Durandeau
813,E. & W. Bennett Pottery
814,Charles Coxon
815,William Bloor's East Liverpool Porcelain Works
816,William Boch and Brothers
817,Boston China Decorating Works
818,Charles J. Boulter
819,Congress Pottery
820,Cook Pottery Company
821,Dallas Pottery
822,Eoff and Conner
823,Fenton's Works
824,Gillander and Bennett Company
825,Sidney Risley
826,Norwich Pottery
827,D. &  J. Henderson Flint Stoneware Manufactory
828,"Harker, Taylor and Company"
829,Morris Holmes
830,Congressville Factory
831,Jersey City Pottery
832,Samuel Kirk and Son
833,William McQuilkin
834,Jacob Medinger
835,"Millington, Astbury and Poulson"
836,Moore and Ferguson
837,Norton and Fenton
838,George E. Ohr
839,Biloxi Art Pottery
840,"Jones, Ball and Poor"
841,Freeman Porter
842,Philippus Priee
843,Pyatt
844,Stephen Reeves
845,Samuel Richards Jr.
846,Southern Porcelain Company
847,Greenwood Pottery Company
848,Walter Scott Lenox
849,William Bromley
850,Samuel Williamson
851,Woodward and Blakely Company
852,Davenport
853,New England Pottery Company
854,Philip Livingston
855,John Bennett
856,Jean Antoine Houdon
857,Benjamin Wilson
858,Charles Volkmar
859,Volkmar Ceramic Company
860,James and Ralph Clews
861,Andrew Uhler
862,David Spinner
863,Solomon Grimm
864,Thomas Dimmock & Co.
865,Heinrich Stofflet
866,John Leidy I
867,Conrad Mumbouer
868,John Monday
869,"Daniel Dry , active ca. 1820-80"
870,Smith Pottery
871,Asa Edward Smith
872,E. Challinor & Co.
873,Joseph Clementson
874,Thomas Mayer
875,Barker and Till
876,"Barker, Sutton and Till"
877,Blakeslee Barnes
878,Anthony Shaw
879,William Billings
880,Marie B. Bohmann
881,R. Delinieres and Company
882,Robert Bonynge
883,Thomas Byles
884,Samuel Campmell
885,Chelsea Pottery U. S.
886,Edward Danforth
887,"Joseph Danforth, II"
888,J. & T. Edwards
889,G. L. Ashworth & Bros. Ltd.
890,Joseph Harbeson
891,Benjamin Harbeson Jr.
892,Joseph Heath
893,J. and D. Hinsdale
894,Jehiel Johnson
895,T & V
896,Charles Meigh
897,"Mellor, Venables & Co."
898,David Melville
899,Samuel Melville
900,Thomas Melville
901,John Neis
902,Pierrette Caudelot Perrin
903,Samuel Pierce
904,John & William Ridgway
905,John Ridgway
906,William Ridgway & Co.
907,John Rogers & Son
908,Henry Roudebuth
909,Heinrich Roth
910,Sadler and Green
911,Spencer Stafford
912,Henry Troxel
913,Samuel Troxel
914,Jacob Whitmore
915,"Henshall, Williamson & Co."
916,Hiram Yale
917,Benjamin Henry Latrobe
918,Absalmon Day
919,Simon Singer
920,Thomas Godwin
921,Thomas Green
922,Francis Morley & Co.
923,John Allen
924,John Edwards
925,Josiah Austin
926,Joseph Belcher Jr.
927,Joseph Belcher Sr.
928,Andrew Billings
929,Benjamin Brenton
930,John Brevoort
931,Zachariah Brigden
932,William Calder
933,Joseph Clark(e) Jr.
934,Jonathan Clarke
935,Thomas Emery
936,Robert Evans
937,Nicholas Geffroy
938,Peter Kirby
939,William Kirby
940,Elisha Kirk
941,David Northee
942,John Noyes
943,Samuel Pennock
944,Richard Pitts
945,John Pitts
946,Paul Revere Sr.
947,John Tanner
948,I & H
949,John Coddington
950,P. B.
951,Samuel Vernon
952,Bancroft Woodcock
953,Henry Hoppe
954,L. Grognot
955,Thomas Fletcher
956,Sidney Gardiner
957,William E. Nemmers
958,Joseph Anthony Jr.
959,Simon Chaudron
960,Isabella Glass Works/ New Brooklyn Glass Works
961,Ruth Read
962,Eunice Deering
963,Samuel Dupont
964,William Brown
965,Henry Harris
966,Gardner and Company
967,Theodore J. Palmer
968,John Hewlett
969,Dennis Glass Works
970,Thomas Webb and Sons
971,Joseph Armitt
972,T. A. Davis
973,Nehemiah Norcross
974,T. & H.
975,Benjamin Halsted
976,Robert Cruickshank
977,David Tyler
978,Daniel Christian Fueter
979,John McMullin
980,Simeon Soumaine
981,William Adams
982,Elias Boudinot
983,D. Phyfe & Son
984,I. N.
985,S. C.
986,George Richardson
987,Hart and Wilcox
988,Seth Thomas
989,David Wood
990,J. F. (?) B.
991,P. D.
992,Henry Inman
993,Marquand and Company
994,William Simpkins
995,Daniel Rogers
996,Judah R. Teaney
997,Meissen Manufactory
998,John Targee
999,Jean-Paul Guerin
1000,Ernest F. Hagen
1001,William Hancock
